timestamp,Current_Phase_Average_Mean,Active_Energy_Delivered_Received,Active_Power,Wind_Speed,Weather_Temperature_Celsius,Global_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Max_Wind_Speed,Air_Pressure,Hail_Accumulation,Pyranometer_1,Temperature_Probe_1,Temperature_Probe_2
2016/4/2 10:00,422.57516479492,152711.8125,271.59906005859,3.0533332824707,27.24666595,635.98364257812,162.06666564941,0,5.0999999046326,961.0,0,680.35235595703,52.564434051514,54.75505066
2016/4/2 10:05,427.0556641,152734.6875,274.58560180664,2.8766667842865,27.616666793823,653.16259765625,157.76666259766,0,4.5,961.0,0,699.50042724609,71.226577758789,55.362174987793
2016/4/2 10:15,397.8378906,152779.0156,255.49879455566,2.1900000572205,28.263332366943,683.12603759766,152.93333435059,0,4.5,960.98999023438,0,733.34118652344,54.646747589111,57.074863433838
2016/4/2 10:25,361.47296142578,152818.7188,231.89312744141,2.1299998760223,28.733333587646,714.40661621094,154.4666595,0,4.1999998092651,960.89337158203,0,769.66027832031,56.104789733887,58.398067474365
2016/4/2 10:30,366.55218505859,152838.3438,235.36250305176,2.5166666507721,29.236667633057,727.24072265625,171.93333435059,0,4.4000000953674,960.84332275391,0,785.01794433594,74.820281982422,59.063045501709
2016/4/2 10:35,351.19644165039,152857.125,225.38746643066,2.6733334064484,29.366666793823,741.33312988281,159.76666259766,0,4.8000001907349,960.83666992188,0,801.06341552734,74.915252685547,59.611633300781
2016/4/2 10:40,356.37390136719,152876.1719,228.68167114258,2.210000038,29.733333587646,754.28692626953,163.89999389648,0,4.0,960.90002441406,0,815.88146972656,94.140579223633,60.430850982666
2016/4/2 10:45,353.70196533203,152895.0938,226.93946838379,1.4733333587646,29.90333366,766.15521240234,104.80000305176,0,3.2999999523163,960.85333251953,0,829.59887695312,59.329517364502,61.562328338623
2016/4/2 10:50,371.95550537109,152914.9688,238.60899353027,1.5833333730698,30.066667556763,776.15582275391,109.40000152588,0,2.7999999523163,960.79998779297,0,840.71246337891,79.311149597168,62.60050201
2016/4/2 10:55,385.36083984375,152935.5781,247.24835205078,2.0833332538605,30.34666634,784.57757568359,152.73333740234,0,4.1999998092651,960.79998779297,0,851.58264160156,80.182891845703,63.546329498291
2016/4/2 11:00,413.42834472656,152957.7031,265.40625,1.9766666889191,30.739999771118,798.30895996094,156.0333405,0,3.9000000953674,960.72998046875,0,867.91949462891,61.36100769,63.671581268311
2016/4/2 11:05,400.32543945312,152979.0938,256.81182861328,2.3699998855591,31.020000457764,809.23321533203,154.10000610352,0,3.7000000476837,960.70001220703,0,881.13110351562,61.157417297363,63.985004425049
2016/4/2 11:10,415.73764038086,153001.3281,266.68798828125,2.4666666984558,30.969999313354,816.17736816406,150.63333129883,0,4.3000001907349,960.64001464844,0,889.5576172,79.782485961914,64.738136291504
2016/4/2 11:15,402.82345581055,153022.8438,258.31259155273,2.0366666316986,31.173334121704,828.97161865234,154.30000305176,0,4.8000001907349,960.58996582031,0,904.12371826172,80.405120849609,65.48770905
2016/4/2 11:20,444.22189331055,153046.6094,285.13494873047,2.5266666412354,31.620000839233,841.86254882812,146.16667175293,0,4.1999998092651,960.51666259766,0,918.22418212891,98.317367553711,65.3846817
2016/4/2 11:25,434.09133911133,153069.8438,278.80191040039,2.5599999427795,31.723333358765,847.96948242188,145.66667175293,0,3.7000000476837,960.42333984375,0,926.0126953,62.428531646729,65.71907043
2016/4/2 11:30,451.82827758789,153094.0313,290.33465576172,2.6766667366028,32.056667327881,858.75201416016,145.83332824707,0,4.0,960.34332275391,0,939.21917724609,81.196250915527,66.339866638184
2016/4/2 11:35,429.81030273438,153117.0469,276.0510559,1.7999999523163,32.296669006348,867.14044189453,155.5333405,0,3.0,960.29998779297,0,949.78289794922,63.665462493896,67.015251159668
2016/4/2 11:45,453.44625854492,153164.7188,291.33029174805,2.0333333015442,32.443332672119,871.30926513672,131.16667175293,0,4.3000001907349,960.20336914062,0,956.97717285156,65.330009460449,68.182464599609
